url	Categories	Products	Industries	Internals
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-illustrator-ipad-mobile	"Adobe MAX, Illustration"	"Illustrator, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-photoshop-weltweit-fortschrittlich-ai-kuenstliche-intelligenz	"Adobe MAX"	"Adobe Sensei, Photoshop"	""	"Adobe Sensei"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-premiere-rush-audio	"Adobe MAX, Video"	"Premiere Rush"	""	""
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-new-features-lightroom-camera-raw	"Adobe MAX, Fotografie"	"Creative Cloud, Lightroom"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-illustrator-ipad-new-features	"Adobe MAX"	"Illustrator"	""	""
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-overview-creative-cloud-releases-new-features-major-news	"Adobe MAX"	"Creative Cloud, Lightroom, Photoshop, XD"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-indesign-release	"Adobe MAX"	"InDesign, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/20/2020-10-adobe-max-2020-creativity-collaboration-new-features-creative-cloud	"Kreativität, Adobe MAX"	"Creative Cloud, Fresco, Illustrator, Photoshop, XD"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/19/2020-10-ready-for-adobe-max-2020	"Adobe MAX"	"Creative Cloud, Aero, After Effects, Animate, Fresco, Illustrator, InDesign, Lightroom, Photoshop, Premiere Pro, XD"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/16/2020-10-adobe-max-2020-creative-cloud-mobile-application-app	"Adobe MAX"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/de/publish/2020/10/16/vier-bittere-wahrheiten-die-einzelhandelsmarken-bei-ihrer-strategischen-planung-fur-2021-nach-der-coronakrise-berucksichtigen-mussen	"Commerce"	""	"Einzelhandel"	""
https://blog.adobe.com/de/publish/2020/10/15/as-2020-10-adobe-stock-ermoglicht-kreativitat-fur-alle-mit-kostenlosen-stockmedien-und-dem-artist-development-fund	"Kreativität"	"Stock"	""	""
https://blog.adobe.com/de/publish/2020/10/13/daten-lugen-nicht-wie-dhl-die-customer-experience-optimiert	"Customer Intelligence & Analytics"	""	""	""
https://blog.adobe.com/de/publish/2020/10/13/adobe-kundigt-ki-gestutzte-customer-experience-funktionen-an	"Content Management, Digitale Transformation"	"Experience Cloud, Experience Manager, Experience Platform"	""	"Experience Cloud"
https://blog.adobe.com/de/publish/2020/10/12/2020-10-adobe-max-2020-emea-sessions	"Adobe MAX"	"Creative Cloud"	""	"Creative Cloud"
