url	Categories	Products	Industries	Internals
https://blog.adobe.com/es/publish/2020/06/29/textura-de-papel-para-ilustraciones.html	""	"Photoshop, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/25/optimizacion-de-procesos-en-equipos-creativos-imposible.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/23/onfilter-adobe-photoshop-camera-ahora-disponible.html	"Novedades, Diseño, Fotografía"	"Creative Cloud, Photoshop"	""	"Adobe España, Serie de contenido, Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/23/digitalizacion-empresarial-con-document-cloud.html	""	"Document Cloud"	""	"Document Cloud"
https://blog.adobe.com/es/publish/2020/06/20/tutorial-crea-un-avatar-animado-con-after-effects-e-illustrator.html	""	"After Effects, Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/19/como-apoyar-el-talento-creativo-y-artistico-en-epoca-de-pandemia.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/17/acelera-tu-negocio-con-firmas-electronicas.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/06/16/acelera-los-flujos-de-trabajo-y-crea-mejores-historias-con-las-aplicaciones-de-video-y-audio-de-adobe-creative-cloud.html	"Novedades, Audio y video"	"Creative Cloud, After Effects, Audition, Character Animator, Premiere Pro"	""	"Adobe España, Creative Cloud, Serie de contenido"
https://blog.adobe.com/es/publish/2020/06/16/mejor-colaboracion-trabajo-desde-casa-adobe-cc.html	"Novedades"	"Creative Cloud"	""	"Adobe España, Creative Cloud, COVID-19"
https://blog.adobe.com/es/publish/2020/06/16/audio-de-adobe-stock-y-content-id-de-youtube.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/06/16/el-camino-adecuado-hacia-la-pista-adecuada.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/06/16/mejor-colaboracion-mientras-trabajas-desde-casa-adobe-creative-cloud-presenta-nuevas-herramientas-y-caracteristicas.html	""	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/15/5-razones-por-las-cuales-tener-debes-tener-un-behance-si-eres-creativo.html	"Diseño, Ilustración"	"Creative Cloud"	""	"Creative Cloud"
https://blog.adobe.com/es/publish/2020/06/11/como-crear-contenido-virtual-educativo-para-tus-alumnos.html	""	""	""	""
https://blog.adobe.com/es/publish/2020/06/03/como-usar-la-psicologia-del-color-para-mejorar-las-conversiones.html	""	"Creative Cloud"	""	"Creative Cloud"
